year,value,Division,NPC
2015,36.0,Bedok Police Division,Changi NPC
2015,143.0,Bedok Police Division,Geylang NPC
2015,47.0,Bedok Police Division,Marine Parade NPC
2015,33.0,Bedok Police Division,Pasir Ris NPC
2015,76.0,Bedok Police Division,Tampines NPC
2015,54.0,Jurong Police Division,Bukit Batok NPC
2015,47.0,Jurong Police Division,Bukit Panjang NPC
2015,80.0,Jurong Police Division,Choa Chu Kang NPC
2015,78.0,Jurong Police Division,Jurong West NPC
2015,64.0,Jurong Police Division,Nanyang NPC
2015,,Jurong Police Division,Woodlands NPC
2015,50.0,Jurong Police Division,Woodlands East NPC
2015,82.0,Jurong Police Division,Woodlands West NPC
2015,,Woodlands Police Division,Woodlands East NPC
2015,,Woodlands Police Division,Woodlands West NPC
2015,,Woodlands Police Division,Yishun North NPC
2015,,Woodlands Police Division,Yishun South NPC
2015,,Woodlands Police Division,Sembawang NPC
2015,,Woodlands Police Division,Checkpoint
2016,55.0,Central Police Division,Bukit Merah East NPC
2016,81.0,Central Police Division,Marina Bay NPC
2016,80.0,Central Police Division,Rochor NPC
2016,64.0,Clementi Police Division,Bukit Merah West NPC
2016,37.0,Clementi Police Division,Clementi NPC
2016,40.0,Clementi Police Division,Jurong East NPC
2016,62.0,Clementi Police Division,Queenstown NPC
2016,35.0,Tanglin Police Division,Bishan NPC
2016,27.0,Tanglin Police Division,Bukit Timah NPC
2016,32.0,Tanglin Police Division,Kampong Java NPC
2016,124.0,Tanglin Police Division,Orchard NPC
2016,49.0,Tanglin Police Division,Toa Payoh NPC
2016,37.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2016,38.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2016,61.0,Ang Mo Kio Police Division,Hougang NPC
2016,33.0,Ang Mo Kio Police Division,Punggol NPC
2016,22.0,Ang Mo Kio Police Division,Sembawang NPC
2016,42.0,Ang Mo Kio Police Division,Sengkang NPC
2016,41.0,Ang Mo Kio Police Division,Serangoon NPC
2016,45.0,Ang Mo Kio Police Division,Yishun North NPC
2016,35.0,Ang Mo Kio Police Division,Yishun South NPC
2016,92.0,Bedok Police Division,Bedok NPC
2016,24.0,Bedok Police Division,Changi NPC
2016,123.0,Bedok Police Division,Geylang NPC
2016,44.0,Bedok Police Division,Marine Parade NPC
2016,37.0,Bedok Police Division,Pasir Ris NPC
2016,57.0,Bedok Police Division,Tampines NPC
2016,49.0,Jurong Police Division,Bukit Batok NPC
2016,38.0,Jurong Police Division,Bukit Panjang NPC
2016,56.0,Jurong Police Division,Choa Chu Kang NPC
2016,68.0,Jurong Police Division,Jurong West NPC
2016,67.0,Jurong Police Division,Nanyang NPC
2016,,Jurong Police Division,Woodlands NPC
2016,51.0,Jurong Police Division,Woodlands East NPC
2016,63.0,Jurong Police Division,Woodlands West NPC
2016,,Woodlands Police Division,Woodlands East NPC
2016,,Woodlands Police Division,Woodlands West NPC
2016,,Woodlands Police Division,Yishun North NPC
2016,,Woodlands Police Division,Yishun South NPC
2016,,Woodlands Police Division,Sembawang NPC
2016,,Woodlands Police Division,Checkpoint
2017,89.0,Central Police Division,Bukit Merah East NPC
2017,134.0,Central Police Division,Marina Bay NPC
2017,89.0,Central Police Division,Rochor NPC
2017,64.0,Clementi Police Division,Bukit Merah West NPC
